id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
UgyItMFV4Fqf5lCalF14AaABAg	0	0	2019-02-05 18:58:56	Todd Rayer	People come together and eliminate Red Lobster from your choice of restaurants. They pulled out of Tucker pull out on them!! And all the others. There is a list online. I for one will not am out on them all.	UCpbGeu-XKyiv34_KuV_I59w	http://www.youtube.com/channel/UCpbGeu-XKyiv34_KuV_I59w	0		
Ugz3URykfW4Xf4Xxmhl4AaABAg	0	0	2019-02-05 18:23:55	deloris taylor	There is already close to 600 miles of wall in America.	UCQs1-cdzitBeaW3VAbnSnPw	http://www.youtube.com/channel/UCQs1-cdzitBeaW3VAbnSnPw	0		
UgxxZe7TXdJ1G0K2z8h4AaABAg	0	0	2019-02-05 18:21:50	deloris taylor	The entire state of Isreal is 48 miles. Good point but you cant compare the Israeli wall to what Trump wants to build.	UCQs1-cdzitBeaW3VAbnSnPw	http://www.youtube.com/channel/UCQs1-cdzitBeaW3VAbnSnPw	0		
Ugxun8nU_-aJwe4xJ6h4AaABAg	0	0	2019-02-05 18:11:29	Fern Walker	And your butt boy, loser trump, sends out insane tweets calling for a human wall. The treasonous trump administration will never live down it’s human rights violations for seizures of children at the border and total disregard for any reunification. Now he wants to send trigger happy, Maga hat wearing morons to form a wall. Anything to distract from his own criminal investigations. Lock him up.	UCxSLBNZtjyghbubu6Acj8YA	http://www.youtube.com/channel/UCxSLBNZtjyghbubu6Acj8YA	0		
Ugzon4tOrUlZpR_Qbs54AaABAg	0	1	2019-02-05 17:59:42	deshu k	Pelosi &#39;The Whore&#39; wants these filthy scumbags to be in the US ! <br />Trump, may not be a perfect Prez, BUT he is atleast making sure these SOBs are getting thrown out of the US ! <br />I don&#39;t like Trump, BUT we need him. <br />TRUMP 2020.	UCYpHYsZ6fYaqjJ6he6YbuHQ	http://www.youtube.com/channel/UCYpHYsZ6fYaqjJ6he6YbuHQ	0		
UgzzZbW-fNnO0Zb0RlB4AaABAg	0	0	2019-02-05 16:41:18	Meso Boring	WHAT A HYPOCRITE THIS PELOSI	UCvLjuprQ8TF2tBvmvfVXvgw	http://www.youtube.com/channel/UCvLjuprQ8TF2tBvmvfVXvgw	0		
Ugy0h8sbDX3tRletOvp4AaABAg	0	0	2019-02-05 16:26:57	Willluft113@gmail	She is everything wrong with politics. Everything.	UCW7Tguzexvqesshyr-0WMWw	http://www.youtube.com/channel/UCW7Tguzexvqesshyr-0WMWw	0		
UgyenYPU0z0FbBl2hsp4AaABAg	0	0	2019-02-05 16:22:26	Mitchell m	Her view but not the rest of the country that means you can&#39;t have your view practiced with no support for it you daft wrinkly woman	UCkHscYuQFkII4KrzMLtt7NA	http://www.youtube.com/channel/UCkHscYuQFkII4KrzMLtt7NA	0		
UgyXwBCrIwPWeW5Qii94AaABAg	0	0	2019-02-05 15:44:54	Dan Parkinson	If border walls are immoral then why does she have doors and locks on her house and bodyguards?	UC3cMHrM-nQIgrZTyfdQCJOA	http://www.youtube.com/channel/UC3cMHrM-nQIgrZTyfdQCJOA	0		
Ugw4vbDwu_ezCNtrqSR4AaABAg	0	0	2019-02-05 14:57:11	Tristan Ruby	Pelosi / Schumer no wall theory is pro slavery it protects sanctuary slavery cities.	UC81eGDu4VVVCkBCQYojuLrQ	http://www.youtube.com/channel/UC81eGDu4VVVCkBCQYojuLrQ	0		
